lineId,shortName,description,year,month,averageSpeedKmh,totalDistanceMeters,totalTimeSeconds,samples,status
1571,T57A,Estación Nuevo Latír - Estación Unidad Deportiva,2018,5,14.93,2301003.00,554922.00,24181,OK
2101,P10A,Estación Universidades - Centro,2018,5,12.87,1738666.00,486319.00,23425,OK
2102,P10B,Estación Universidades-El Ingenio-Estación-Estació,2018,5,11.95,1255497.00,378372.00,19144,OK
2104,P10D,Estación Universidades - Centro,2018,5,12.45,1393313.00,402924.00,18242,OK
2121,P12A,Est. Universidades - Est Nuevo Latír - T. A Sanín,2018,5,14.37,3176407.00,795511.00,39439,OK
2141,P14A,Estación Universidades - Terminal Andrés Sanín,2018,5,12.41,633610.00,183742.00,9217,OK
2211,P21A,Universidades - Centro - Av Las Américas,2018,5,14.13,1897993.00,483606.00,23175,OK
2212,P21B,Terminal Menga - Estación Universidades,2018,5,15.35,2756951.00,646622.00,32457,OK
2241,P24A,Terminal Menga- Terminal Andrés Sanín,2018,5,16.13,979995.00,218718.00,10740,OK
2242,P24B,C.A.M.  - Terminal Andrés Sanín,2018,5,13.01,1680423.00,465138.00,23416,OK
2243,P24C,Terminal Menga-Terminal Andrés Sanín-Decepaz,2018,5,15.06,419851.00,100356.00,4891,OK
2273,P27C,Terminal Menga - Estación Universidades,2018,5,14.58,2670356.00,659489.00,35702,OK
2274,P27D,Terminal Menga - Estación Capri,2018,5,12.77,2187614.00,616861.00,28308,OK
2301,P30A,Estación Flora Industrial-Terminal Menga - Centro,2018,5,14.75,1990060.00,485734.00,25314,OK
2401,P40A,Terminal Andrés Sanín - Centro,2018,5,12.69,849842.00,241166.00,13285,OK
2402,P40B,Terminal Andrés Sanín -Sena-Centro,2018,5,14.10,1276537.00,326001.00,19809,OK
2471,P47A,Terminal Andrés Sanín - Estación Unidad Deportiva,2018,5,11.30,1689281.00,538117.00,30933,OK
2472,P47B,Terminal Andrés Sanín - Estación Unidad Deportiva,2018,5,13.34,1474556.00,397965.00,21417,OK
2473,P47C,Terminal Andrés Sanín - Estación Capri,2018,5,12.70,1603176.00,454586.00,24952,OK
2521,P52A,Amanecer -Terminal Calipso - Av. de las Américas,2018,5,12.36,778255.00,226655.00,10726,OK
2524,P52D,Ciudad Cordoba - Centro - Terminal,2018,5,12.19,2244375.00,662858.00,31459,OK
2801,P80A,Terminal Calipso - Santa Elena - Centro,2018,5,11.41,292408.00,92289.00,4160,OK
