lineId,shortName,description,year,month,averageSpeedKmh,totalDistanceMeters,totalTimeSeconds,samples,status
1571,T57A,Estación Nuevo Latír - Estación Unidad Deportiva,2018,5,14.92,2299101.00,554713.00,24160,OK
2101,P10A,Estación Universidades - Centro,2018,5,12.89,1740541.00,486263.00,23426,OK
2102,P10B,Estación Universidades-El Ingenio-Estación-Estació,2018,5,11.96,1256182.00,378252.00,19142,OK
2104,P10D,Estación Universidades - Centro,2018,5,12.45,1393733.00,402964.00,18242,OK
2121,P12A,Est. Universidades - Est Nuevo Latír - T. A Sanín,2018,5,14.36,3175037.00,795824.00,39431,OK
2141,P14A,Estación Universidades - Terminal Andrés Sanín,2018,5,12.42,633653.00,183680.00,9206,OK
2211,P21A,Universidades - Centro - Av Las Américas,2018,5,14.13,1899212.00,483738.00,23191,OK
2212,P21B,Terminal Menga - Estación Universidades,2018,5,15.36,2757924.00,646520.00,32455,OK
2241,P24A,Terminal Menga- Terminal Andrés Sanín,2018,5,16.14,980535.00,218759.00,10745,OK
2242,P24B,C.A.M.  - Terminal Andrés Sanín,2018,5,13.01,1680929.00,465216.00,23420,OK
2243,P24C,Terminal Menga-Terminal Andrés Sanín-Decepaz,2018,5,15.06,420116.00,100396.00,4894,OK
2273,P27C,Terminal Menga - Estación Universidades,2018,5,14.58,2671340.00,659530.00,35708,OK
2274,P27D,Terminal Menga - Estación Capri,2018,5,12.78,2189599.00,616826.00,28305,OK
2301,P30A,Estación Flora Industrial-Terminal Menga - Centro,2018,5,14.78,1992699.00,485519.00,25306,OK
2401,P40A,Terminal Andrés Sanín - Centro,2018,5,12.70,850325.00,241092.00,13292,OK
2402,P40B,Terminal Andrés Sanín -Sena-Centro,2018,5,14.13,1280290.00,326119.00,19849,OK
2471,P47A,Terminal Andrés Sanín - Estación Unidad Deportiva,2018,5,11.31,1691198.00,538481.00,30960,OK
2472,P47B,Terminal Andrés Sanín - Estación Unidad Deportiva,2018,5,13.32,1473469.00,398380.00,21430,OK
2473,P47C,Terminal Andrés Sanín - Estación Capri,2018,5,12.68,1604245.00,455420.00,24979,OK
